log.prior	log.likelihood	log.likelihood.test.set
-7.406403731434620568e+02 -6.063134310632631241e+02 -1.788934052376350792e+01
-7.374345050799688579e+02 -6.086198404954292300e+02 -1.805053554767380319e+01
-7.418267068610534807e+02 -6.055572998979636168e+02 -1.812430563663679095e+01
-7.439978142417223808e+02 -6.068472447540824533e+02 -1.793877547071997469e+01
-7.455551513349478228e+02 -6.071510573427161717e+02 -1.840562979053663639e+01
-7.465592999920040711e+02 -6.059423364294414114e+02 -1.850106561948143735e+01
-7.482443298518523989e+02 -6.043072273266384400e+02 -1.835100702063982681e+01
-7.447470520427018528e+02 -6.046456372531529269e+02 -1.756472141958960265e+01
-7.370579162335694718e+02 -6.055090096279258205e+02 -1.786842547021115024e+01
-7.340315139267262339e+02 -6.057009443872597103e+02 -1.804835223973606162e+01
-7.384860332767317459e+02 -6.044024627882755567e+02 -1.831753670946170587e+01
-7.283473250274179236e+02 -6.076657773805384295e+02 -1.831483994755370759e+01
-7.264834152582993738e+02 -6.062740512387122180e+02 -1.832937190090467539e+01
-7.238847242487047424e+02 -6.046140608359917223e+02 -1.886948723085004076e+01
-7.192789343311527546e+02 -6.069618276850619623e+02 -1.882307487126718115e+01
-7.174468498191567960e+02 -6.062633359317999293e+02 -1.858550781845974598e+01
-7.132921876624831157e+02 -6.074462321893063290e+02 -1.826947014082429632e+01
-7.202869139123383775e+02 -6.050403897904488986e+02 -1.810938104391635761e+01
-7.208348580165799149e+02 -6.055535204388481816e+02 -1.779950294438748415e+01
-7.174124035212292938e+02 -6.076778716476544560e+02 -1.819341098952236280e+01
-7.094919250341424686e+02 -6.109699857105133560e+02 -1.829103556334598579e+01
-7.196727831781529403e+02 -6.036984754375339435e+02 -1.874617733439538370e+01
-7.204869025732087948e+02 -6.035154052140014755e+02 -1.909054227541599857e+01
-7.222970876955816948e+02 -6.028156308133825405e+02 -1.849709885408805121e+01
-7.263270589529071231e+02 -6.044286590136155155e+02 -1.773795729464677606e+01
-7.225232764797245864e+02 -6.021997134379773797e+02 -1.842487350221227871e+01
-7.287536624536427325e+02 -6.035151542273217729e+02 -1.787951461384272989e+01
-7.311186625061361610e+02 -6.019735916542686027e+02 -1.790814931940610677e+01
-7.300115474206979798e+02 -6.007779636625434705e+02 -1.701123250015263011e+01
-7.253979664921321273e+02 -6.013413469447896205e+02 -1.693972984783624725e+01
-7.264180197633662601e+02 -6.022855979555706654e+02 -1.718175283766515804e+01
-7.223395009041825006e+02 -6.038627003315430102e+02 -1.817045493301020542e+01
-7.354368799896926703e+02 -6.001743374346590372e+02 -1.778646702674035396e+01
-7.268956084738737218e+02 -6.026424212972385703e+02 -1.773180818752018695e+01
-7.345003905195812877e+02 -6.027940451692174975e+02 -1.736704399684032296e+01
-7.417370390295152447e+02 -6.007502084898421799e+02 -1.699872056616300142e+01
-7.385183243303567906e+02 -5.997368156534046193e+02 -1.661284979434253728e+01
-7.350363451604079046e+02 -6.030724244830161069e+02 -1.668628563693249589e+01
-7.377891024199135472e+02 -6.025080141599996750e+02 -1.654347324658397156e+01
-7.430856121900861808e+02 -5.996077853177587258e+02 -1.805248356625969564e+01
-7.333344630494954117e+02 -6.023261199758521798e+02 -1.779975290048423631e+01
-7.298222446868306861e+02 -6.082217226964364727e+02 -1.656223164333817977e+01
-7.251919656868172979e+02 -6.040647451264467236e+02 -1.759164424493286560e+01
-7.162574784884000110e+02 -6.026611079664767203e+02 -1.660921592351081699e+01
-7.188443086887376694e+02 -6.048353257043220310e+02 -1.686582053110049628e+01
-7.197959499222837394e+02 -6.039477471579712073e+02 -1.738795346676164399e+01
-7.161187959340168163e+02 -6.049575718982105172e+02 -1.758268023141084768e+01
-7.146001340574229062e+02 -6.067230541204535257e+02 -1.765903166985827966e+01
-7.125011911954353536e+02 -6.070907138770830898e+02 -1.677439598912724250e+01
-7.226815173137385955e+02 -6.054225449782120450e+02 -1.707997297564213568e+01
-7.324199426318348287e+02 -6.027055420259907805e+02 -1.783234269660948712e+01
-7.282190900402983971e+02 -6.153606047619950914e+02 -1.746171603422868657e+01
