influence.1.1		influence.1.2		influence.1.3		influence.2.1		influence.2.2		influence.2.3		influence.3.1		influence.3.2		influence.3.3		
0.000000000000000000e+00 7.565254698882632134e+00 9.597858123228503402e+00 1.501092057541768332e+00 0.000000000000000000e+00 1.603934196735492543e-08 8.691606052633048307e+00 9.804272764932916218e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.308075350965973271e+00 9.918275593930271583e+00 1.297112321363041998e+00 0.000000000000000000e+00 1.977078903403537306e-08 8.963090282497345740e+00 9.924427752933278057e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.054338964365738818e+00 9.809884155804967421e+00 8.953000322587087112e+00 0.000000000000000000e+00 1.119102953572977132e-07 8.980027972177387241e+00 9.829586059683666832e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.169446741097523557e+00 8.470716774710705721e+00 9.386640475473434719e+00 0.000000000000000000e+00 4.135359433830946681e-07 9.722812989732481981e+00 9.266725304847685862e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.094760902657913704e+00 9.410005308618409003e+00 7.455586070478469551e+00 0.000000000000000000e+00 3.058486786775008625e-07 9.931284282023357335e+00 9.203915678514533738e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.505088682682639956e+00 9.338426892276332936e+00 5.657141413730184532e+00 0.000000000000000000e+00 2.094857174004435407e-07 9.128465377313792928e+00 7.332224517773278549e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.534579263772355873e+00 9.519497785734742479e+00 6.880515495600542764e+00 0.000000000000000000e+00 8.722792440645065188e-07 9.430393213570150479e+00 7.481182966361214604e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.647965936166157164e+00 9.725867525303041106e+00 8.400655150189477283e+00 0.000000000000000000e+00 2.884784588664025015e-06 9.554901364625726146e+00 6.996464609655200562e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.934518821274494371e+00 9.704994885585749742e+00 9.870389772396855221e+00 0.000000000000000000e+00 3.013008057770730206e-06 9.504716164549481761e+00 5.331235720609546647e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.602584629289685481e+00 9.604545067723339713e+00 9.608049406287605620e+00 0.000000000000000000e+00 7.726454897485806615e-08 9.986029074876258349e+00 6.724396929379280685e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.952639275546212971e+00 9.395292856899857270e+00 9.532662262879544102e+00 0.000000000000000000e+00 7.399374349276231853e-08 9.976114813875057052e+00 7.701495156725565394e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.889753116958420520e+00 9.190912378633420587e+00 9.826419581183719387e+00 0.000000000000000000e+00 3.734638970630459280e-09 9.895828624759927195e+00 9.543140786908756112e+00 0.000000000000000000e+00
0.000000000000000000e+00 8.543468060320519086e+00 8.432106369749451602e+00 9.279085916868933026e+00 0.000000000000000000e+00 3.495320767710001966e-09 9.438262079782630209e+00 8.253851870843643468e+00 0.000000000000000000e+00
0.000000000000000000e+00 9.368344072924013943e+00 8.550421657442084822e+00 8.483396570212670795e+00 0.000000000000000000e+00 4.061128073697901727e-09 9.664294423627838526e+00 5.604091042664799183e+00 0.000000000000000000e+00
