word.concentration.1	word.concentration.2	word.concentration.3	
3.446018247924266031e+00 4.998052458781754304e+00 4.430344551835645461e+00
3.526880967664558941e+00 9.797457683143367291e+00 4.315002869579059208e+00
3.731293945772814258e+00 6.796867694927559711e+00 5.588856359599848389e+00
3.305084653626656710e+00 6.530654750006976705e+00 6.334010034539131695e+00
3.223595979767758024e+00 7.031361611823300883e+00 6.282267506666209478e+00
3.610466360060152091e+00 7.111730208652386587e+00 3.346302023710843176e+00
3.534950574148980174e+00 5.456978028765509414e+00 2.411888529244808677e+00
3.767931825391939160e+00 8.103853795888303679e+00 5.113669830867113575e+00
2.604134666431942247e+00 8.501936773789168456e+00 9.067785904192717794e+00
2.612050974960424377e+00 7.469050920889600320e+00 7.343809450478060441e+00
3.953670598335424557e+00 8.138982214362465939e+00 6.473548002270621105e+00
4.967479935914546729e+00 7.553720784272948130e+00 5.967335881081308635e+00
3.504727609330183569e+00 9.658045872089266126e+00 6.053594980432144723e+00
3.303724891122112428e+00 5.846914566914017897e+00 7.578754739721362377e+00
3.216753763798013033e+00 5.347906530012780379e+00 6.901387163451360607e+00
4.324350581997679299e+00 4.871982576009675547e+00 4.766062177417778045e+00
3.369407232355658088e+00 4.999216322193129614e+00 3.885747037794044623e+00
4.594592939750244298e+00 8.433219467783056089e+00 4.541375407394194319e+00
3.494400083932161394e+00 6.346578278674781970e+00 3.931032178878659966e+00
2.510381673896000532e+00 7.119704012474569410e+00 4.992318653062801204e+00
4.619819526320958047e+00 7.228919543118720092e+00 4.729142869133024618e+00
5.393253616612166290e+00 9.005940417776161055e+00 6.425821669460384022e+00
3.545000993864784178e+00 8.465852004658355412e+00 6.593294334452560967e+00
2.710641455586091375e+00 6.401712720584921357e+00 4.831103445578067479e+00
4.104916884613284189e+00 7.080343822789543218e+00 4.073199138161749389e+00
4.786111321893203652e+00 8.658984551455951362e+00 6.539730395397280738e+00
2.957693203895331635e+00 6.843306904842705762e+00 5.004247156969137578e+00
3.149305728542792782e+00 7.389376676581894010e+00 4.375150818864664615e+00
3.752991572562171196e+00 6.937482875390600157e+00 3.732405921112710079e+00
4.126236243035439344e+00 9.657040672066489861e+00 3.570960047653616520e+00
3.132858748913796010e+00 9.448986157916909434e+00 4.115596582571670048e+00
2.578525122895010568e+00 8.834069847250082930e+00 4.074716381897917294e+00
3.521028514228131456e+00 7.993693421008694955e+00 4.347219883245319494e+00
3.609186998994670326e+00 8.135313393276529581e+00 5.319062409218072496e+00
2.727780082287410313e+00 7.194844263765151737e+00 4.945656741012291135e+00
4.152709963531235005e+00 7.726042792191702091e+00 5.230649917366444690e+00
4.259157427414004715e+00 5.426968164909278691e+00 5.479279146298534187e+00
3.968634862224468041e+00 9.235880590406875257e+00 5.458948886911128895e+00
2.862644953128278047e+00 8.173959797224570778e+00 8.056846873656153818e+00
4.161365317497996763e+00 8.583154023143558575e+00 6.160515360249465999e+00
4.037076663652037212e+00 5.848520416079952433e+00 6.047434155819939150e+00
4.142023655636780433e+00 8.650184607486391286e+00 5.868256601034095965e+00
4.791461966467270628e+00 8.386751404703424839e+00 5.580101533465656516e+00
