time.decay.1	time.decay.2	time.decay.3	
9.817469099419780321e+01 1.089252488746175800e+02 8.830103582366179182e+01
1.015254304574187358e+02 1.053758446135331326e+02 1.003005302355469439e+02
8.861604555156020524e+01 9.658662902257580640e+01 9.832098281529556516e+01
1.158257240709504572e+02 1.000747703195880689e+02 9.839525803031611417e+01
1.050667000931444335e+02 1.002085538158553675e+02 9.910283826085591841e+01
1.030127858892144843e+02 9.939990738621091282e+01 1.011230722538550282e+02
1.147332964966838489e+02 1.009106210977780478e+02 1.040840536824225069e+02
1.220319565940646100e+02 9.781500253890141039e+01 1.037417909543231360e+02
1.019929102555558558e+02 9.918363460920487285e+01 9.439624019204096328e+01
9.434441186783254807e+01 9.318926069129751966e+01 1.002665208912722221e+02
1.016832675318050292e+02 1.122063256932852084e+02 9.878668455558423034e+01
9.526664995845393946e+01 1.177065336472105344e+02 1.056745435401651605e+02
8.637568915205349640e+01 1.211919274508120736e+02 9.766465435392298389e+01
9.034074982426234612e+01 1.277205699642147323e+02 9.280233994004220222e+01
8.852784885311314156e+01 1.164018130131335624e+02 9.681580116049643436e+01
8.198208756826119270e+01 1.168925243818089541e+02 9.689450880396513810e+01
8.424444143355758285e+01 1.041176850493078376e+02 9.650921100814667852e+01
8.403518189040296704e+01 9.697398927443715877e+01 9.674164930503127380e+01
8.694995543299484098e+01 1.031815076004324396e+02 1.013422073628199058e+02
8.668451733507833978e+01 1.114760736292603269e+02 1.114019378626516783e+02
1.037418287368259797e+02 1.056470102361035970e+02 1.085057121884844378e+02
1.251142988816885406e+02 9.998718235823879752e+01 9.437215112251666937e+01
1.294284381114165114e+02 1.087997794619741114e+02 1.026742197593145249e+02
1.303407752085849438e+02 1.304723358061414160e+02 1.050275538109376186e+02
9.974711514721258254e+01 1.337108557376925546e+02 1.120291233449135007e+02
9.447499444469443119e+01 1.212605463314264398e+02 1.178828866216155689e+02
9.322223046967567939e+01 1.078992875718825815e+02 8.043942500149496766e+01
9.982639816103878161e+01 1.058180774377206745e+02 1.188374040183591660e+02
1.008228809450787224e+02 9.899894712004450525e+01 1.057637630740030943e+02
9.290080689058592611e+01 9.493130969262014673e+01 1.016428314703456124e+02
1.048875513421322410e+02 9.802906171474442942e+01 1.010483440163365856e+02
9.771953556708572819e+01 1.055047121662622942e+02 1.173733386014194195e+02
1.148599028758440284e+02 1.112648960194750316e+02 1.165390739951964463e+02
1.015944135045902641e+02 1.092121303098949596e+02 9.471814223726724435e+01
1.060455710417314208e+02 9.177335992339649806e+01 1.029943258804235455e+02
